SIZE,PARTS,WORKER,Run1,Run2,Run3
240,64,32,14033,13715,14578
240,64,64,10471,10535,10547
240,100,25,23462,24549,20436
240,100,50,19715,20051,20286
240,100,100,15779,15718,15793
240,256,64,51562,56095,50230
240,256,128,57117,53721,58435
240,256,256,48884,48142,47599
256,1,1,21362694,22492321,
256,4,1,4012519,,
256,4,2,2039797,2123840,2247751
256,4,4,1099653,1072927,1064565
256,16,4,238245,234253,244259
256,16,8,128264,124429,121944
256,16,16,64408,58757,59986
256,64,16,18041,17464,16868
256,64,32,15058,15609,15856
256,64,64,10680,10553,10652
256,256,64,51584,55462,55294
256,256,128,56363,57736,59080
256,256,256,49638,47459,47535
