SIZE,PARTS,WORKER,p=z²,p | k²,uuid,total
144,1,1,OK,OK
144,4,1,OK,OK
144,4,2,OK,OK,c69ff310-ee00-48e7-b82f-b579aa7e8741,199113
144,4,4,OK,OK,5a2d06ef-de84-44a6-aee1-f54d458d1d27,104423
144,16,4,OK,OK,3ff0bda9-1a14-42d5-9326-c0358ac5c83f,21623
144,16,8,OK,OK,e09db9dd-d038-468e-8ac6-9ce8a64aa89c,12061
144,16,16,OK,OK,ac453fb9-9a72-4f0e-bb7a-ab0f5ffd926e,6018
144,64,16,OK,OK,f0ba6987-c997-494f-9942-9a96a7e535db,16805
144,64,32,OK,OK,9c694370-f6d9-4c2f-a9bd-4867a488c211,12443
144,64,64,OK,OK,348198e5-df06-455b-a7e4-281d449187ff,9125
144,144,36,OK,OK,6d4d88e7-45c5-4333-96b5-a4c76e41263d,30762
144,144,72,OK,OK,a11874df-bbdd-4be8-a26d-01f1ab22630d,30423
144,144,144,OK,OK,bc929cc0-3982-4a0a-a0a7-0d45a6e30ea2,24456
144,256,64,OK,OK,a4f41bec-f1e3-4adb-9248-0db52969f1b4,59836
144,256,128,OK,OK,86af8280-84b3-4d12-b2f0-d836e3d61960,55278
144,256,256,OK,OK,739565e1-58dc-4fe2-a002-ddb997eee31e,48841
160,1,1,OK,OK
160,4,1,OK,OK
160,4,2,OK,OK,cb5b2884-a3d6-417d-8e02-75571e9be833,304164
160,4,4,OK,OK,951ddae0-bacf-4f34-9cf8-439817d852c7,166319
160,16,4,OK,OK,80ff5b28-335e-4217-8792-12ae47e1eaaf,33317
160,16,8,OK,OK,b58cbae4-79cb-4f46-98db-ac6b5c134ff1,17262
160,16,16,OK,OK,f68fabd9-04de-46c1-8c1b-0586cff79c92,9305
160,64,16,OK,OK,9f2ecdc6-d2f7-4ea3-b2f7-b8ee01473a5c,16381
160,64,32,OK,OK,9664ecb1-869d-4909-9277-bfa74efcad37,12917
160,64,64,OK,OK,c51b3575-2f5a-4bf8-88aa-ce3c7bb60496,9236
160,100,25,OK,OK,5be3db5e-76ee-48ad-bc3f-801d780edfa0,18430
160,100,50,OK,OK,3b8fa585-706a-4cda-bbf6-1cc32d51d47c,20250
160,100,100,OK,OK,a9c5cebc-ad1b-4b33-97a6-a0c42989a9bb,15349
160,256,64,OK,OK,dab7d045-a348-468f-a782-b576be65c144,49278
160,256,128,OK,OK,8c150c7f-08cf-42c3-aa83-91e95172b0c3,54963
160,256,256,OK,OK,f761d623-d341-4414-ac5e-05034b0c6a74,49347
176,1,1,OK,OK
176,4,1,OK,OK
176,4,2,OK,OK,40c9c49b-7772-4767-9af1-e028fb3e55bd,230163
176,4,4,OK,OK,83842485-d86f-420a-962b-f9f8c0ceedf3,238027
176,16,4,OK,OK,c89d4fd7-2fbe-4de5-99d0-36b3e9901891,46788
176,16,8,OK,OK,d9e2ac67-b1d3-4d5c-9feb-5182ab09f214,25915
176,16,16,OK,OK,28ac3b08-5c0e-42a9-91cd-835e9ac9c248,12627
176,64,16,OK,OK,b4b06628-a871-40b7-86e0-adb172d139a1,16396
176,64,32,OK,OK,04b75c23-2524-4c78-b25b-4ff9d3319008,12400
176,64,64,OK,OK,73d6e11c-7cde-43d0-a6c8-0b22cbdb8edc,9410
176,256,64,OK,OK,0f55f5e1-c561-4926-a97a-4fdd610870b8,56150
176,256,128,OK,OK,14147c0f-6aa4-48b4-a659-04f91d11a915,55049
176,256,256,OK,OK,93024d5f-e7eb-4198-a53a-b5f32ceb6b3f,47169
192,1,1,OK,OK
192,4,1,OK,OK
192,4,2,OK,OK
192,4,4,OK,OK,6ce05f9b-5a09-4619-bf98-4ed88aae91a4,337115
192,16,4,OK,OK,81f9ac2f-abdc-4546-bdba-954922d9c56a,66661
192,16,8,OK,OK,74ce19e5-4973-43bf-b588-567b059b2fb8,38278
192,16,16,OK,OK,86da6897-f617-451a-bc53-638d71681f53,19722
192,64,16,OK,OK,3b2a432d-61c4-482e-a694-4bac9017e94d,14413
192,64,32,OK,OK,baf437f4-3a35-4a90-ab39-7ec168a2007b,13368
192,64,64,OK,OK,42c43ca1-dfc9-4df0-8c94-d5ea77736986,9730
192,144,36,OK,OK,6c8bc541-a305-414c-9420-d7ad99174503,30469
192,144,72,OK,OK,7678bc17-a001-4649-97c9-dfd1bf109eea,28867
192,144,144,OK,OK,adcf7d4f-2910-42b2-9a91-602899fd9add,25016
192,256,64,OK,OK,1044c416-de74-4d59-b914-42d2a5771ada,55980
192,256,128,OK,OK,afbba990-5007-4d8c-9e8b-43ed6d4767bf,56243
192,256,256,OK,OK,60b01358-6102-4487-94ea-43b556a2a826,47609
208,1,1,OK,OK
208,4,1,OK,OK
208,4,2,OK,OK
208,4,4,OK,OK,5fc4a9fb-2e5f-4922-aed0-257c6e49e9ee,495692
208,16,4,OK,OK,4365a895-7544-4b83-bda0-16fdbdbadeb4,99839
208,16,8,OK,OK,46dfb0f5-b3b7-4796-a48d-a5c295d26494,52780
208,16,16,OK,OK,3ed6fb15-fccc-4f6c-ae1b-85ffbc2ac66e,23579
208,64,16,OK,OK,35d4966a-703b-4b13-8c03-20c2cdf0232e,15665
