SIZE,PARTS,WORKER,MissingInFile
128,256,256,RUN1/messreihen.csv
128,64,64,RUN2/messreihen.csv
160,256,256,RUN1/messreihen.csv
176,256,128,RUN1/messreihen.csv
192,256,256,RUN1/messreihen.csv
192,256,256,RUN2/messreihen.csv
224,196,196,RUN1/messreihen.csv
224,256,256,RUN1/messreihen.csv
224,4,2,RUN2/messreihen.csv
240,100,100,RUN2/messreihen.csv
240,16,4,RUN2/messreihen.csv
240,256,256,RUN1/messreihen.csv
240,4,2,RUN2/messreihen.csv
240,4,4,RUN2/messreihen.csv
256,1,1,RUN1/messreihen.csv
256,16,4,RUN2/messreihen.csv
256,4,1,RUN1/messreihen.csv
256,4,2,RUN2/messreihen.csv
256,4,4,RUN2/messreihen.csv
