SIZE,PARTS,WORKER,uuid,total
256,256,32,123f6aef-bdb1-44ee-a814-afa8f11a961a,48583
256,256,64,2debfddd-1450-4a43-a2e5-ac19c554e0b0,58497
256,256,128,1e14f4a8-134e-4dd6-a05a-a99033c36dcf,245802
256,256,256,d468eded-496b-484e-9602-c3f77ea11830,44728
256,1024,0
256,1024,0
256,1024,4,23a47092-5b95-4c4e-ab1e-89b306ee4d7a,185214
256,1024,88,62c4e91d-afd0-4e14-ae56-b387867f1938,124736
256,1024,16,4f777002-cb52-4f05-966a-c0fceb1081cc,53908
256,1024,32,37de81da-ec34-43fe-bac4-05964cc65fe3,32009
256,1024,64,d00d3d2c-61af-4ed3-8c4d-04f2aa860944,80627
256,1024,128,70f1b702-ed2d-41f3-9228-366b830fe458,244137
256,1024,256,f6e98c43-81e8-40ba-bce3-335906a7950d,70662
256,1024,512
