mapID,chunkID,startTime,endTime,chunkDuration
03d65e02-caa7-45e3-a3ab-2dc7ad2c15a4,af731b15-126e-411b-990b-163737bfa11a,2025-06-02 11:23:56.073000,2025-06-02 11:27:32.133000,216059
119fc30f-d807-43c0-8b0d-6265e97d34d9,d9d68052-1a62-49ef-aa75-f05d01ca6131,2025-06-02 11:37:42.199000,2025-06-02 11:50:10.929000,748729
11c8f52e-504a-4347-a224-d44b4f9771ca,e739bcc2-6719-41ab-a3d3-2bbd05e3b7f4,2025-06-02 11:53:47.861000,2025-06-02 12:15:10.857000,1282995
1611f644-d23a-474d-9f7f-16177d24e99d,1c6cff98-62fd-468f-961c-ed59868f0dd0,2025-06-02 12:17:46.208000,2025-06-02 12:19:02.495000,76287
1611f644-d23a-474d-9f7f-16177d24e99d,318059f2-37ea-42f9-a212-6f19ed661464,2025-06-02 12:15:23.246000,2025-06-02 12:16:32.117000,68870
1611f644-d23a-474d-9f7f-16177d24e99d,bd050526-a68b-48c4-a5ee-8a2cbd5238fd,2025-06-02 12:19:03.012000,2025-06-02 12:20:11.804000,68792
1611f644-d23a-474d-9f7f-16177d24e99d,e5f67d36-349c-4c08-9983-5bc6071ac2de,2025-06-02 12:16:32.558000,2025-06-02 12:17:45.754000,73196
22b10c7a-f54a-4e65-bc12-12ca52ad79d1,f5a80ab6-0700-4251-aeb3-1c8369aae031,2025-06-02 11:21:14.701000,2025-06-02 11:23:10.643000,115941
24507cce-359a-4020-8bd5-9c15efe290f9,2ad90898-098f-41bf-999b-df6559981e7a,2025-06-02 11:36:11.139000,2025-06-02 11:36:34.325000,23186
24507cce-359a-4020-8bd5-9c15efe290f9,330fa2a4-a505-4b37-852f-96ffbc9c6c69,2025-06-02 11:36:34.792000,2025-06-02 11:36:57.598000,22806
24507cce-359a-4020-8bd5-9c15efe290f9,34adfd3b-5517-412a-8a53-16e89f8113e2,2025-06-02 11:36:58.110000,2025-06-02 11:37:21.455000,23344
24507cce-359a-4020-8bd5-9c15efe290f9,fb4dd697-6933-4912-983a-82a4a74a70eb,2025-06-02 11:37:22.058000,2025-06-02 11:37:41.762000,19703
409d12d0-72d2-41d8-b5ee-bd896672c229,3c5de575-c19b-4b69-ac5f-4585a489c57f,2025-06-02 11:52:35.256000,2025-06-02 11:53:17.647000,42391
