SIZE,PARTS,WORKER,p=z²,p | k²,uuid,total
16,1,1,OK,OK,cda25939-195d-45e8-8522-9ffeb8a75e2a,278
16,4,1,OK,OK,577d30f2-1e38-4aec-8c29-b4f2e5180bfe,1802
16,4,2,OK,OK,cbb5dfe1-9dfb-4037-af5e-b2c405efabab,1106
16,4,4,OK,OK,ff7dc657-74f8-4711-abaf-517df029e75c,754463
16,16,4,OK,OK,e945fe38-2478-4d11-a001-6b70b8413e6b,5415
16,16,8,OK,OK,b3247873-c21d-4060-833e-d4f7d037f36f,2687
16,16,16,OK,OK,2cecfb90-c367-411e-90d2-4a0954723f25,2322
32,1,1,OK,OK,da0bd4c5-0f29-4b86-8f95-4bff465ea9d5,2180
32,4,1,OK,OK,18faf37f-73a7-4f6d-8f15-fe4086b2cafe,2164
32,4,2,OK,OK,709eacbd-bbae-413c-a721-0ebe1f7ac2d7,960
32,4,4,OK,OK,059d931e-5b68-4d03-bdf6-4e44223e7944,1051
32,16,4,OK,OK,d671c5f1-7c14-4ace-8fd2-966d62d71ff2,4537
32,16,8,OK,OK,8eff5ebc-f5b7-421a-99c4-1c36e00a35b7,2882
32,16,16,OK,OK,f5045438-632e-4e9b-993e-f403a0c193e1,1816
32,64,16,OK,OK,18e35027-cbb5-4baa-9f76-db7d6a123985,13688
32,64,32,OK,OK,b6bc6688-3140-418f-b72d-68366c0f58ec,12672
32,64,64,OK,OK,b4f00715-5533-42e8-b454-0eb3a8e786ca,8285
48,1,1,OK,OK,7bbd4adc-77eb-4c2f-b126-559e0065bb57,14815
48,4,1,OK,OK,ccc480d4-a9ee-4874-923b-d4ad98c95e5d,3529
48,4,2,OK,OK,256dbbdb-8272-403e-b964-8a785a5f5708,1956
48,4,4,OK,OK,cd5cfa13-1e1c-4925-a14b-3747766674c8,1705
48,16,4,OK,OK,df1e7558-8f3c-4ae5-a5bf-5fe510428c59,4563
48,16,8,OK,OK,fac69494-fb2c-4d4c-a5e8-4a8b83fbc5ee,3253
48,16,16,OK,OK,519441db-fab6-48ad-a644-7d3e5d3b5597,2041
48,36,9,OK,OK,d961a90d-818f-4905-bebb-4660f3d81071,8004
48,36,18,OK,OK,db3e4d1b-602c-4a66-b0de-8ed9fc8b0ae5,7683
48,36,36,OK,OK,58828ccf-b9e6-4fe5-80cb-86f5db7c12bf,4090
48,64,16,OK,OK,63596a21-e958-4095-9579-53ac3c88a652,12004
48,64,32,OK,OK,e9f66942-78b9-4223-9b56-45c40ea4651b,12737
48,64,64,OK,OK,3ac3d436-4a5a-425d-bd75-c37acced9a01,8815
64,1,1,OK,OK,425d7e22-a9af-46b9-a9c7-d8085c0e0a54,44598
64,4,1,OK,OK,b276750f-f1ca-434a-89dd-9d9c6c02acc4,10436
64,4,2,OK,OK,ae8c3cf3-b27d-40c6-ad83-4100e47196a6,4594
64,4,4,OK,OK,cd294dfd-0564-4681-bb23-9a534e143505,4855
64,16,4,OK,OK,298bdf29-ff44-4c02-bf1e-331fe4e8963c,5451
64,16,8,OK,OK,447ff2b0-9ed4-4148-b5cb-35bb19a9f7b2,3097
64,16,16,OK,OK,68955ca6-bbb7-4ebd-b266-e705beec4e16,2319
64,64,16,OK,OK,5d6ee91d-cbd4-4eca-b499-d9d6c0869306,13531
64,64,32,OK,OK,521d343b-549e-4268-82aa-30a47708eb5b,12412
64,64,64,OK,OK,4d08f172-19e3-4bce-b5f2-5c14adc08193,8556
80,1,1,OK,OK,fd5b3365-b712-4cf9-90b7-dda197e0b400,120034
80,4,1,OK,OK,58301ac7-9ab2-4ba6-8058-bc4269278b28,10431
80,4,2,OK,OK,d0095ae4-1ba8-4b2c-8357-dfeb800645ea,13471
80,4,4,OK,OK,e0f477a7-cd34-4db1-901f-665f77ac2804,12471
80,16,4,OK,OK,92b11918-4c15-414f-b535-fb3d7e84cafb,5956
80,16,8,OK,OK,761278af-c28a-433f-85d5-266ee229fb80,3160
80,16,16,OK,OK,93441991-e536-44be-a41c-df7a409d6272,2486
80,64,16,OK,OK,5548ec8f-93f7-4bfb-a2fc-9e5cfb17718d,13696
80,64,32,OK,OK,4f876818-e9a1-4d68-b035-f28351689044,9908
80,64,64,OK,OK,a4e35739-d1fc-4c86-9f2e-22a024400882,8517
96,1,1,OK,OK,80c26356-a671-4080-97d9-e0129f80d2b9,238600
96,4,1,OK,OK,bd2190c3-1e4b-4151-838c-9f04c3ceb3c0,24095
