mapID,mapSize,chunkCount,numberOfWorkers,startTime,endTime,totalDuration
06728e4e-f5aa-4e9b-bc22-2ca95dba4d75,192,144,36,2025-06-05 16:43:22.238000,2025-06-05 16:43:57.415000,35177
0aa2bee2-2908-43a9-a221-5f91d0851772,48,36,18,2025-06-05 16:41:24.196000,2025-06-05 16:41:31.815000,7619
17119802-e5ee-4574-aaa8-b9cc23b73313,160,100,25,2025-06-05 16:49:52.667000,2025-06-05 16:50:20.974000,28307
1ef3f30d-1b29-4d38-a665-544491a894df,96,36,36,2025-06-05 16:42:40.125000,2025-06-05 16:42:44.738000,4613
31dc1466-0a71-477a-a718-b92193ab67d3,96,36,9,2025-06-05 16:40:28.775000,2025-06-05 16:40:37.358000,8583
3988e36d-1137-4e03-be89-1e302e1effc3,144,144,72,2025-06-05 16:44:25.078000,2025-06-05 16:44:55.229000,30151
40f65031-4bf1-40a4-a862-500ac1777113,192,144,72,2025-06-05 16:44:45.915000,2025-06-05 16:45:22.237000,36322
46656359-6353-449c-9f47-0d21a0e0f723,112,196,98,2025-06-05 16:47:56.884000,2025-06-05 16:48:35.344000,38460
4f0dd1f8-f53b-4313-ba0d-a59df10c6f9d,48,36,9,2025-06-05 16:40:13.267000,2025-06-05 16:40:20.501000,7234
53803edc-1dee-4a73-bc1e-ba061b2141c5,144,144,36,2025-06-05 16:42:56.020000,2025-06-05 16:43:29.347000,33327
66b2fd5b-0550-4773-86d9-11855ae2626b,96,36,18,2025-06-05 16:41:39.712000,2025-06-05 16:41:48.143000,8431
7da4fb2b-5379-4523-a0e6-18a132246760,160,100,100,2025-06-05 16:52:38.450000,2025-06-05 16:52:52.021000,13571
97acd320-21ee-4e89-bda1-121a5608520a,224,196,98,2025-06-05 16:48:48.428000,2025-06-05 16:49:28.657000,40229
b6a0ee52-45fc-4d18-a17d-d8df21ba3b4a,224,196,49,2025-06-05 16:46:30.922000,2025-06-05 16:47:22.666000,51744
c6a26d65-ccab-4f4e-9c98-e2837464b156,240,100,25,2025-06-05 16:50:33.939000,2025-06-05 16:50:56.548000,22609
c76ef62a-4f6e-479e-b528-c494c9ac8463,160,100,50,2025-06-05 16:51:27.113000,2025-06-05 16:51:47.137000,20024
d3fbc734-4a6f-4a91-98d0-e696fe4eca2c,240,100,50,2025-06-05 16:51:58.247000,2025-06-05 16:52:17.899000,19652
d9e9d3fa-fdb4-4e5f-a8cc-d459e8794aca,48,36,36,2025-06-05 16:42:24.599000,2025-06-05 16:42:28.744000,4145
dddba94c-b4bc-4908-b358-ab5ac246138f,112,196,49,2025-06-05 16:45:52.491000,2025-06-05 16:46:41.446000,48955
