SIZE,PARTS,WORKER,p=z²,p | k²,uuid,total
144,4,2,OK,OK,8ea0290b-3096-4583-921c-a85a394e3094,129060
144,4,4,OK,OK,7d42a47e-dc4a-47a9-ad04-4357fefe8106,70082
144,16,4,OK,OK,57281a86-3856-45b3-855e-86a87758549e,15408
144,16,8,OK,OK,7b0d6523-82a6-4f4a-93ef-7761be8c816f,7664
144,16,16,OK,OK,af7a4bb5-3e4e-4326-8732-41c3215ef3b4,5809
144,64,16,OK,OK,5a3b2de0-6835-44f2-a699-f926905d00bf,16696
144,64,32,OK,OK,85a27e22-9c83-47dc-990a-2b6863e0c047,12293
144,64,64,OK,OK,7c95c7b1-cede-42be-ab52-d189fabb2635,
144,144,36,OK,OK,8c779219-70ce-46c4-b0ec-2a1e04762f88,12406
144,144,72,OK,OK,98352f4c-2c4c-4ffd-93cf-55bbe71ea6c7,30399
144,144,144,OK,OK,e3252ac5-a017-4fe1-ae3e-49d4a895a1c1,18249
144,256,64,OK,OK,32c39983-5d9e-4979-a544-8351d3890ae5,41410
144,256,128,OK,OK,3bc6d72e-205a-4f9d-b720-0ddf4c2146ab,33323
144,256,256,OK,OK,202c9f86-dbb3-4437-9866-56cb65789078,17202
160,1,1,OK,OK
160,4,1,OK,OK
160,4,2,OK,OK,76886923-0569-4772-a6bf-dff429ca7da8,113091
160,4,4,OK,OK,a2345086-6051-42f1-85e7-b5667c1be362,112416
160,16,4,OK,OK,635e1a99-a58f-43d0-be54-7e84bdf680ad,24022
160,16,8,OK,OK,da73d9cf-067d-4574-a9c2-fae0148a76b4,11281
160,16,16,OK,OK,52710b3b-b71c-4519-9891-591adb57a943,6796
160,64,16,OK,OK,3ed67335-142d-4fb4-aa39-35530c98e3c9,12579
160,64,32,OK,OK,8e4c74a5-ecb2-430f-a1f6-53212164408e,11772
160,64,64,OK,OK,50408193-7d75-43c7-847b-dee0aff0ab38,7443
160,100,25,OK,OK,cf133a99-aa93-4b73-b9a5-7c4f587b00dd,20466
160,100,50,OK,OK,937e50fc-99aa-41c5-a10e-1b32eb18312f,19322
160,100,100,OK,OK,5dd2d6ab-c1b4-4b12-952a-40ffe98b2004,12336
160,256,64,OK,OK,dc5db3ad-eac5-49a4-8534-7aeb633023c0,36063
160,256,128,OK,OK,05412259-dd36-48ad-afa1-a7e79700aa1a,
160,256,256,OK,OK,c5c816e4-5331-41de-91f5-1ca88f870968,
176,1,1,OK,OK
176,4,1,OK,OK
176,4,2,OK,OK,a2bbebb9-d3b0-4f38-9b4d-8aed26c082ab,243574
176,4,4,OK,OK,5d1d964a-2b4d-4b96-a709-98b8015407b9,154241
176,16,4,OK,OK,251bb444-90e3-413d-a872-23a60efec8a2,132115
176,16,8,OK,OK,3d323014-e1a3-4eb4-b6ed-2e146d640121,19216
176,16,16,OK,OK,96e69aeb-3ba9-440f-b4ed-86960cb38bf2,9893
176,64,16,OK,OK,f0ad355c-32e5-4810-80a5-21e5d0c5201d,16218
176,64,32,OK,OK,bac41452-8407-4a4f-8c99-3db8b53e656a,12539
176,64,64,OK,OK,8cc70fe7-c47e-4435-9a00-1cc5c1445319,24483
176,256,64,OK,OK,5c4cae5d-5311-4891-9ac3-b54cfd297bab,9353
176,256,128,OK,OK,65d9d4a5-1ade-411e-a530-a8aabd6fc367,60185
176,256,256,OK,OK,d9f23ae5-8d59-4594-95d6-d0577fb2fe54,57469
192,1,1,OK,OK
192,4,1,OK,OK
192,4,2,OK,OK
192,4,4,OK,OK,1aab4be8-0503-4350-9784-3700ee7ee011,228361
192,16,4,OK,OK,df41e08c-8b0c-49bc-a361-85779b18ddaf,98229
192,16,8,OK,OK,ceee1ca5-5fd4-4e41-abec-69ab6ed6afa4,24653
