mapID,mapSize,chunkCount,numberOfWorkers,startTime,endTime,totalDuration
04563a94-427c-43f9-bb89-e20dd4d7ac3e,112,64,64,2025-06-03 15:15:28.241000,2025-06-03 15:15:36.408000,8167
064a4755-a12a-415e-9f80-53ca12dac78a,240,64,64,2025-06-03 15:25:15.435000,2025-06-03 15:25:39.613000,24178
242ec3ed-0a79-43fe-b317-0a7354d40344,64,64,64,2025-06-03 15:14:46.797000,2025-06-03 15:14:54.746000,7949
24bd0bf3-3550-43c5-b4a7-593bdbdbcfb3,192,256,128,2025-06-03 15:32:54.524000,2025-06-03 15:35:18.431000,143907
38eb803d-c0cf-4da4-82c8-7528703eeffb,160,64,64,2025-06-03 15:19:08.761000,2025-06-03 15:19:21.836000,13075
39ff7330-5e9e-4c5c-bd49-ddba55a3c899,112,256,128,2025-06-03 15:28:25.236000,2025-06-03 15:29:22.610000,57374
3a7520c4-bdb8-4a5f-93e5-05143612b457,256,256,64,2025-06-03 15:27:07.985000,2025-06-03 15:27:57.109000,49124
43137f67-dfc0-45b9-a3e6-9e75e8def582,128,256,128,2025-06-03 15:28:56.222000,2025-06-03 15:30:26.215000,89993
57927a76-adaa-4927-ae78-f171782a000a,144,64,64,2025-06-03 15:18:04.020000,2025-06-03 15:18:24.193000,20173
5ec48115-9cb6-45a4-9e68-e2448c4b3be2,160,256,128,2025-06-03 15:31:42.354000,2025-06-03 15:32:40.875000,58521
62d1bc84-ed13-49e2-9192-11ba7c1aa9dd,144,256,128,2025-06-03 15:30:35.811000,2025-06-03 15:31:28.652000,52841
7d69ddd0-9dcb-435a-b811-2f6b6dbeb116,80,64,64,2025-06-03 15:15:07.492000,2025-06-03 15:15:15.478000,7986
7f4cf485-2783-4307-baee-709b2460c5d7,224,256,128,2025-06-03 15:35:35.461000,2025-06-03 15:37:10.996000,95535
81af08c2-7b2b-401a-a488-51ba2cb4d561,176,256,128,2025-06-03 15:32:13.563000,2025-06-03 15:33:59.985000,106422
88c743a7-90e1-4edc-a064-73306f79ae88,240,256,128,2025-06-03 15:37:25.897000,2025-06-03 15:38:20.972000,55075
93a5b2a3-f678-4d53-8eff-8263080c9dd2,144,256,64,2025-06-03 15:18:26.312000,2025-06-03 15:19:10.599000,44287
93dbf66d-8d01-422c-965d-a267baf8aeff,176,256,64,2025-06-03 15:20:37.108000,2025-06-03 15:21:22.343000,45235
9a0ab12c-babe-4072-9628-49cd1b209b28,112,256,64,2025-06-03 15:15:49.272000,2025-06-03 15:16:52.862000,63590
9c278978-ca05-4af2-ac8e-d71662bb653b,192,256,64,2025-06-03 15:21:55.142000,2025-06-03 15:22:47.224000,52082
9e9c5c5c-cdd4-48d6-84c1-b745437a6c65,208,256,128,2025-06-03 15:34:53.717000,2025-06-03 15:35:59.751000,66034
a4d49ec4-288d-4516-9dde-836d57fe630c,32,64,64,2025-06-03 15:14:05.643000,2025-06-03 15:14:13.385000,7742
b3b027d5-06e7-427f-9a8a-ba477fc4ef54,224,256,64,2025-06-03 15:24:31.216000,2025-06-03 15:25:31.271000,60055
b6d3d364-6671-40e1-8043-1c6bd80dbbf2,224,64,64,2025-06-03 15:23:53.676000,2025-06-03 15:24:16.709000,23033
b78290dc-36d9-4ccb-a88a-cdd3bdbfaedd,208,64,64,2025-06-03 15:22:18.822000,2025-06-03 15:22:59.134000,40312
be3de8a1-1009-40b6-a51e-643d0cd36e4b,192,64,64,2025-06-03 15:21:33.675000,2025-06-03 15:21:42.481000,8806
c1f96748-e751-4043-9aa2-7c0a33e25fcf,48,64,64,2025-06-03 15:14:26.210000,2025-06-03 15:14:34.382000,8172
c288ab83-9656-4e0f-88ea-aef283b8bd68,208,256,64,2025-06-03 15:23:10.384000,2025-06-03 15:24:08.930000,58546
cb705906-d89b-4d87-9784-97341b14080f,128,64,64,2025-06-03 15:16:31.668000,2025-06-03 15:17:02.533000,30865
ceb655b9-f35b-4f8d-9d57-81315531a59c,176,64,64,2025-06-03 15:20:02.592000,2025-06-03 15:20:26.735000,24143
d947d2f1-074c-44fc-a36f-4bbc76c5f133,160,256,64,2025-06-03 15:19:26.724000,2025-06-03 15:20:17.965000,51241
e24ea0f6-fe2a-4707-844a-7bd43d9feaa1,240,256,64,2025-06-03 15:25:47.741000,2025-06-03 15:26:47.367000,59626
efdc83bc-dec0-4442-b35f-73c923a6a91c,256,256,128,2025-06-03 15:38:32.849000,2025-06-03 15:39:19.986000,47137
f8b820de-4b58-4283-a5a5-1a1b77ff10b5,256,64,64,2025-06-03 15:26:43.901000,2025-06-03 15:26:53.036000,9135
fc300449-bad5-4af9-946d-987403de75b9,128,256,64,2025-06-03 15:17:08.216000,2025-06-03 15:18:11.650000,63434
