mapID,chunkID,startTime,endTime,chunkDuration
39f52a3b-e440-4a24-8a43-5b6727dfb6d1,00b4e298-5682-4480-b8a4-711e33567d41,2025-05-27 14:41:48.546000,2025-05-27 14:41:50.265000,1718
39f52a3b-e440-4a24-8a43-5b6727dfb6d1,0560b85e-fc95-4165-80f5-5f7611d42a06,2025-05-27 14:41:50.133000,2025-05-27 14:42:00.977000,10843
39f52a3b-e440-4a24-8a43-5b6727dfb6d1,07500278-d4c8-4196-8c23-6b452ed89bca,2025-05-27 14:41:49.907000,2025-05-27 14:42:00.248000,10340
39f52a3b-e440-4a24-8a43-5b6727dfb6d1,075eb9db-43b7-48a4-8d82-246a7cf9e188,2025-05-27 14:41:50.243000,2025-05-27 14:41:57.204000,6961
39f52a3b-e440-4a24-8a43-5b6727dfb6d1,07829d30-5db4-4e95-8fc4-eea8cded32ef,2025-05-27 14:41:50.112000,2025-05-27 14:42:00.566000,10453
39f52a3b-e440-4a24-8a43-5b6727dfb6d1,0857af00-5c4b-4ce3-90b3-6dd348ec4156,2025-05-27 14:41:50.256000,2025-05-27 14:41:50.884000,628
39f52a3b-e440-4a24-8a43-5b6727dfb6d1,08d78e75-da18-4488-ad85-8cf48d13bab2,2025-05-27 14:41:50.134000,2025-05-27 14:42:00.852000,10718
39f52a3b-e440-4a24-8a43-5b6727dfb6d1,0bb9ba6c-5893-45fe-a500-adb6cd4dd62e,2025-05-27 14:41:49.022000,2025-05-27 14:41:59.944000,10922
39f52a3b-e440-4a24-8a43-5b6727dfb6d1,0de3ceb1-c527-4c12-8cc7-b06f810c89ab,2025-05-27 14:41:50.246000,2025-05-27 14:42:01.973000,11727
39f52a3b-e440-4a24-8a43-5b6727dfb6d1,106973f0-67de-4aac-b504-5cfa84498e9b,2025-05-27 14:41:50.145000,2025-05-27 14:42:01.410000,11265
39f52a3b-e440-4a24-8a43-5b6727dfb6d1,10a4b5f6-6312-4513-aca6-315344be3f94,2025-05-27 14:41:50.140000,2025-05-27 14:42:02.151000,12011
39f52a3b-e440-4a24-8a43-5b6727dfb6d1,10fb5340-d154-4d39-900d-e7af48085238,2025-05-27 14:41:50.198000,2025-05-27 14:42:02.398000,12200
39f52a3b-e440-4a24-8a43-5b6727dfb6d1,112ada54-4559-424a-99ee-aba97893bf20,2025-05-27 14:41:59.900000,2025-05-27 14:42:02.781000,2881
39f52a3b-e440-4a24-8a43-5b6727dfb6d1,14158251-1461-4e28-8dad-31ed16245d29,2025-05-27 14:42:05.272000,2025-05-27 14:42:06.651000,1379
39f52a3b-e440-4a24-8a43-5b6727dfb6d1,16a4b473-6d6c-4393-bdc3-80d19e51f43f,2025-05-27 14:41:50.182000,2025-05-27 14:42:02.066000,11884
39f52a3b-e440-4a24-8a43-5b6727dfb6d1,17011652-57fb-47b0-a781-9354de23b845,2025-05-27 14:41:50.162000,2025-05-27 14:42:01.550000,11388
39f52a3b-e440-4a24-8a43-5b6727dfb6d1,18804e92-ae40-46fa-9aee-dcb6b706bf64,2025-05-27 14:41:48.875000,2025-05-27 14:41:59.233000,10358
39f52a3b-e440-4a24-8a43-5b6727dfb6d1,194d2eee-7cd7-4e60-bc43-0d8b9cce67a2,2025-05-27 14:41:48.733000,2025-05-27 14:41:57.705000,8971
39f52a3b-e440-4a24-8a43-5b6727dfb6d1,199ae9d4-c9ba-44de-9cfe-168aed75763d,2025-05-27 14:41:50.123000,2025-05-27 14:42:00.435000,10311
39f52a3b-e440-4a24-8a43-5b6727dfb6d1,1b6c7328-9d90-47ca-9ad9-0c2588c578e2,2025-05-27 14:41:50.174000,2025-05-27 14:42:01.700000,11525
39f52a3b-e440-4a24-8a43-5b6727dfb6d1,1cfa241b-66c5-49a6-a704-390bf59fad8e,2025-05-27 14:41:50.184000,2025-05-27 14:42:01.075000,10890
39f52a3b-e440-4a24-8a43-5b6727dfb6d1,1e1be257-3b37-4fc9-8c90-b67c2e147080,2025-05-27 14:41:50.224000,2025-05-27 14:42:00.941000,10717
39f52a3b-e440-4a24-8a43-5b6727dfb6d1,1f151aba-029d-438a-894b-bbd4def407ac,2025-05-27 14:41:50.189000,2025-05-27 14:42:01.917000,11727
39f52a3b-e440-4a24-8a43-5b6727dfb6d1,211547d9-86f4-47fd-9665-75453f2d0d38,2025-05-27 14:41:50.210000,2025-05-27 14:42:01.590000,11379
39f52a3b-e440-4a24-8a43-5b6727dfb6d1,215bb4fa-9f7e-4227-9995-4aec0373e319,2025-05-27 14:41:50.096000,2025-05-27 14:41:59.821000,9724
39f52a3b-e440-4a24-8a43-5b6727dfb6d1,22d24315-dee4-445a-81fc-d85966b96b78,2025-05-27 14:41:49.900000,2025-05-27 14:42:00.258000,10357
39f52a3b-e440-4a24-8a43-5b6727dfb6d1,23ea6525-4f62-44a0-9a34-7e21dee67cbe,2025-05-27 14:41:50.120000,2025-05-27 14:42:00.347000,10227
39f52a3b-e440-4a24-8a43-5b6727dfb6d1,245ddab2-68f3-4c51-89c3-eafefa4afb09,2025-05-27 14:41:49.124000,2025-05-27 14:41:59.602000,10478
39f52a3b-e440-4a24-8a43-5b6727dfb6d1,245dde5c-83c1-43e5-b4ea-fc4b60c9b861,2025-05-27 14:41:49.963000,2025-05-27 14:42:00.157000,10194
39f52a3b-e440-4a24-8a43-5b6727dfb6d1,247e862d-c7a5-4ad5-be48-7338187333c3,2025-05-27 14:41:50.141000,2025-05-27 14:42:01.817000,11676
39f52a3b-e440-4a24-8a43-5b6727dfb6d1,276fde82-7ddd-4e13-aceb-3119d1346330,2025-05-27 14:41:50.190000,2025-05-27 14:42:01.625000,11435
39f52a3b-e440-4a24-8a43-5b6727dfb6d1,2b120a96-ccc7-48aa-94fe-65b2c73c0725,2025-05-27 14:41:50.124000,2025-05-27 14:42:01.722000,11597
39f52a3b-e440-4a24-8a43-5b6727dfb6d1,2e1e942e-eed3-4fcf-b55e-539baff22df1,2025-05-27 14:41:50.172000,2025-05-27 14:42:00.767000,10594
