SIZE,PARTS,WORKER,p=z²,p | k²,uuid,total
144,64,64,OK,OK,63d94aed-b3a6-4bad-af11-59b659991d4a,8966
144,144,36,OK,OK,fd1e7dcd-cb21-4206-8769-928b0ab21478,26566
144,144,72,OK,OK,6171b663-7382-4762-99cc-882f1395363c,29511
144,144,144,OK,OK,c5592564-d909-44bf-ba96-343d42518c52,24671
144,256,64,OK,OK,ad2f35a4-3533-41b2-8a10-f7fb5e5be34a,61703
144,256,128,OK,OK,18d76c53-8fdc-4b6f-a44c-620cc16106e5,55360
144,256,256,OK,OK,597f4928-6ece-42b9-b141-24f61746be13,48221
160,1,1,OK,OK
160,4,1,OK,OK
160,4,2,OK,OK
160,4,4,OK,OK,381a8a8e-fe2f-440b-8ada-3099bdce05b6,154323
160,16,4,OK,OK,6f8f3d25-3576-4e46-8e0b-7db24db43492,30914
160,16,8,OK,OK,abd68995-65fc-4d8a-a33a-b6a43b65ea33,17511
160,16,16,OK,OK,5461b6ff-56b8-46bd-a987-3349c9893237,8965
160,64,16,OK,OK,d4b9597d-c3ac-4c2f-a096-f2b8b626319b,15467
160,64,32,OK,OK,08c6f202-6a51-4b97-b63b-72ec929d2fe4,13025
160,64,64,OK,OK,2dde53fa-9a17-477b-8b1c-c98888f5538e,9404
160,100,25,OK,OK,a41098ff-41d3-4b64-ba7e-982af7c3a2bb,22630
160,100,50,OK,OK,8f23b441-3a4d-4429-b530-ace45bc93c0c,20148
160,100,100,OK,OK,c4bb6fc3-0879-42fc-978f-30b30b571ec3,14974
160,256,64,OK,OK,2203015b-add3-4021-82e1-1bb098938624,59765
160,256,128,OK,OK,e978f468-4d7f-4b71-b53a-6e6c2a3d467b,56008
160,256,256,OK,OK,9ee918ac-92be-488b-b967-ca555df81f66,47470
176,1,1,OK,OK
176,4,1,OK,OK
176,4,2,OK,OK
176,4,4,OK,OK,b3555e19-7b78-4862-a4aa-9cf052936c3f,224979
176,16,4,OK,OK,dd5cab36-91aa-499a-9a50-958abafe1c3a,45101
176,16,8,OK,OK,16608782-ba1b-4413-a43f-479cb6977812,25411
176,16,16,OK,OK,3bad8cc0-12a4-4671-9af6-61b8a914694b,12747
176,64,16,OK,OK,ad4abbc9-f17d-496a-850b-8bcecaacbfff,16638
176,64,32,OK,OK,2c945a2a-4e2f-49bf-b6f4-d7bb75b4767a,13455
176,64,64,OK,OK,7b454607-869b-4677-b0c3-10e50a6fd146,9417
176,256,64,OK,OK,41a61ac4-a92c-474d-836b-5ae9c5af4058,56650
176,256,128,OK,OK,468e67b8-091d-45a2-a7ad-13e52923f65b,56964
176,256,256,OK,OK,1e3eb17a-c939-4900-ad46-3df223c658aa,48324
192,1,1,OK,OK
192,4,1,OK,OK
192,4,2,OK,OK
192,4,4,OK,OK,89c59698-a3f9-4e61-8bb8-ca5992a77d5c,324800
192,16,4,OK,OK,b16b3bea-bbe0-4e16-969e-7a0e2a4ddd77,64405
192,16,8,OK,OK,d8ad5b7a-17eb-4454-ac90-a6aae062ab8e,35133
192,16,16,OK,OK,f38e8243-cf2e-4392-b95f-d0896e7f0564,17756
192,64,16,OK,OK,dc75bc5c-da67-4a1a-8ae2-57dfdf9a2e8d,15997
192,64,32,OK,OK,9b85585a-d405-4d2a-9965-c191bb62dcc2,13210
192,64,64,OK,OK,1417f234-1601-4ac1-95b5-93025013dcc5,9733
192,144,36,OK,OK,a37ac30a-115a-46ae-9813-7c3a1eaa56eb,29961
192,144,72,OK,OK,1a918c13-fa6f-40dc-8202-6165ce72c6d1,30518
192,144,144,OK,OK,cd8c55f6-f70e-47a9-a1c0-8301e5100106,24625
192,256,64,OK,OK,12a953dd-6f9a-43fb-b0c0-032fe2c47e58,43978
192,256,128,OK,OK,1eb06ad8-2136-4b9d-810b-b98c8518d754,54812
192,256,256,OK,OK,d50dc962-43f0-43b6-ae55-7c004529a142,48836
208,1,1,OK,OK
208,4,1,OK,OK
208,4,2,OK,OK
208,4,4,OK,OK,f514bbe0-bbcc-4ec7-8a95-59bc12e658a3,447615
208,16,4,OK,OK,0e0b84b7-0f45-4b7a-b816-257efea8ac94,98335
208,16,8,OK,OK,08c27a7f-bc10-4add-ac2e-f5046ef17ce8,49603
208,16,16,OK,OK,17af5b46-a5e6-40d2-bdb0-2138a3e88ca8,25167
208,64,16,OK,OK,fdce998b-8ca5-4fc2-b18e-bbb1f0bd415a,16662
208,64,32,OK,OK,c31d4b01-c846-478d-9acb-da5df9c65f08,13693
208,64,64,OK,OK,18aad328-d049-462d-815b-1a1f78dd0e2e,9841
208,256,64,OK,OK,7548e3be-2c86-4f02-b5df-bdfe2f9134ba,49735
208,256,128,OK,OK,2ac95b19-b9cd-41ca-9547-772f382e7fd0,56271
208,256,256,OK,OK,08e15ebf-c703-4fcc-9374-585e8413c590,48964
224,1,1,OK,OK
224,4,1,OK,OK
224,4,2,OK,OK
224,4,4,OK,OK,f70dbc13-8621-4e5a-b615-7bbf5e895981,635501
224,16,4,OK,OK,8fd65a9b-05a3-44a5-a1c1-c3f2d83bb3ba,125453
224,16,8,OK,OK,2d981228-57c7-4826-9bf5-11b7755d983b,66209
224,16,16,OK,OK,f42b2781-31b9-42f2-8acc-2a849f46c625,35294
224,64,16,OK,OK,dcf6ec65-4e46-487f-89a8-db2985f2ea86,14516
224,64,32,OK,OK,2e420c51-a95d-4700-a716-dfbe3e52e390,13700
